SaleID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,TotalAmount
45,2023-12-10,370,85,45,5,0.28,1107.65
46,2023-08-08,411,46,43,2,0.02,391.04
47,2023-08-22,1387,189,21,2,0.13,705.33
48,2023-07-06,267,78,27,4,0.19,1139.7
49,2023-01-06,843,152,31,4,0.1,1181.45
50,2023-08-13,881,46,18,1,0.12,175.57
51,2023-08-07,66,44,1,2,0.14,801.57
52,2023-03-14,1293,22,37,4,0.09,829.67
53,2023-09-02,1400,150,12,1,0.07,454.84
54,2023-11-09,1375,30,4,3,0.03,1435.97
55,2023-11-09,28,165,8,5,0.27,85.63
56,2023-06-27,76,176,47,4,0.14,510.12
57,2023-06-11,533,27,26,4,0.09,250.03
58,2023-05-08,956,167,42,5,0.09,963.92
59,2023-01-30,60,73,32,4,0.21,1227.44
60,2023-03-30,1169,41,21,5,0.24,299.17
61,2023-05-23,162,147,39,5,0.24,1300.32
62,2023-11-25,144,150,48,5,0.17,2029.64
63,2023-07-09,123,156,39,4,0.01,1501.55
64,2023-04-18,503,70,44,2,0.21,383.66
65,2023-01-29,631,129,16,3,0.28,998.74
66,2023-02-10,1198,29,3,4,0.21,599.55
67,2023-03-30,1364,75,2,5,0.15,1749.81
68,2023-04-29,741,29,5,4,0.15,645.08
69,2023-10-25,864,73,15,3,0.27,850.66
70,2023-10-12,160,2,17,1,0.22,96.84
71,2023-05-13,162,193,41,1,0.15,306.6
72,2023-09-07,1229,22,6,2,0.07,423.95
73,2023-03-29,1412,56,20,3,0.24,385.23
74,2023-05-01,1225,132,3,1,0.29,78.75
75,2023-01-15,1028,93,23,4,0.3,677.01
76,2023-04-21,1163,178,48,4,0.17,506.96
77,2023-05-19,1212,181,41,3,0.04,492.05
78,2023-03-09,818,102,35,5,0.2,1611.24
79,2023-01-24,644,148,4,5,0.22,284.9
80,2023-03-07,165,149,25,4,0.29,1370.13
81,2023-10-04,178,49,41,4,0.0,1195.56
82,2023-06-01,1122,149,31,2,0.06,906.99
83,2023-08-23,209,31,2,4,0.09,1023.31
84,2023-02-04,1399,73,37,4,0.27,1134.22
85,2023-10-25,652,44,5,2,0.14,801.57
86,2023-01-09,1029,106,17,2,0.29,203.22
87,2023-02-16,441,83,18,5,0.23,407.83
88,2023-08-21,918,40,28,4,0.21,828.14
89,2023-03-25,567,2,23,5,0.24,471.81
90,2023-03-25,823,31,20,1,0.01,278.32
91,2023-12-05,874,42,34,1,0.24,339.8
92,2023-03-09,157,182,17,4,0.19,744.88
93,2023-05-30,639,8,1,1,0.06,317.63
94,2023-01-27,1496,28,4,1,0.23,40.7
95,2023-07-11,628,116,1,5,0.07,2174.2
96,2023-01-30,964,78,3,3,0.28,759.8
97,2023-08-13,919,11,19,4,0.28,167.64
98,2023-07-31,871,39,3,3,0.06,1136.35
99,2023-05-13,191,14,2,1,0.11,165.59
100,2023-12-05,1046,159,19,3,0.06,96.7
101,2023-10-07,1317,130,46,2,0.25,494.56
102,2023-08-25,1327,166,27,2,0.07,857.7
103,2023-02-22,837,78,17,1,0.22,274.37
104,2023-09-01,1047,180,23,1,0.03,450.65
105,2023-11-25,998,79,17,1,0.28,71.6
106,2023-11-22,1370,112,40,2,0.17,575.47
107,2023-12-20,1,159,30,4,0.24,104.24
108,2023-09-11,575,129,25,1,0.01,457.76
109,2023-06-14,1476,132,34,3,0.23,256.23
110,2023-05-14,946,134,14,2,0.17,231.09
111,2023-07-31,1196,101,19,2,0.15,581.35
112,2023-02-24,843,104,47,3,0.26,543.17
113,2023-11-15,819,94,35,5,0.27,699.08
114,2023-11-04,1375,160,29,2,0.16,647.67
115,2023-04-04,1334,77,23,2,0.23,444.17
116,2023-05-16,786,140,11,2,0.16,50.62
117,2023-01-26,1122,19,24,2,0.21,291.43
118,2023-07-17,302,177,27,5,0.17,97.73
119,2023-07-04,1451,139,2,1,0.3,86.41
120,2023-11-24,1258,38,19,3,0.14,924.23
121,2023-10-05,33,119,36,2,0.04,554.63
122,2023-04-27,764,48,38,2,0.05,801.97
123,2023-10-02,1459,154,39,1,0.17,199.59
124,2023-08-14,273,32,10,4,0.26,550.5
125,2023-03-20,756,64,19,1,0.14,117.34
126,2023-12-13,828,170,26,4,0.01,91.04
127,2023-08-29,703,99,28,4,0.18,1113.72
128,2023-11-19,1230,118,9,5,0.27,538.23
129,2023-03-17,1201,172,21,4,0.07,1469.55
130,2023-06-23,768,84,29,3,0.24,577.75
131,2023-09-16,35,156,28,3,0.2,910.03
132,2023-02-02,1079,27,4,4,0.25,206.07
133,2023-04-03,1315,107,6,5,0.12,672.14
134,2023-03-21,1268,80,13,4,0.26,661.0
135,2023-06-12,139,70,34,1,0.03,235.54
136,2023-11-03,566,178,3,4,0.01,604.69
137,2023-01-21,1472,164,45,1,0.05,404.61
138,2023-10-27,337,148,31,1,0.08,67.21
139,2023-12-19,1437,32,39,5,0.13,809.01
140,2023-06-25,477,81,22,5,0.14,912.89
141,2023-07-17,1417,49,48,5,0.12,1315.12
142,2023-07-21,475,39,6,3,0.06,1136.35
143,2023-10-01,8,185,6,1,0.01,440.73
144,2023-05-25,1496,30,33,1,0.07,458.92
145,2023-12-31,370,144,8,1,0.02,53.51
146,2023-05-11,1177,168,11,3,0.12,1107.77
147,2023-09-17,1443,7,43,4,0.02,1655.06
148,2023-03-17,381,25,7,5,0.17,1301.02
149,2023-05-07,1017,26,25,4,0.08,1131.49
150,2023-09-06,866,49,23,2,0.12,526.05
151,2023-05-08,586,16,12,2,0.01,54.23
152,2023-11-18,36,133,44,5,0.19,1680.1
153,2023-04-07,647,81,43,1,0.21,167.72
154,2023-08-20,570,36,24,2,0.28,35.9
155,2023-10-21,986,56,4,4,0.22,527.16
156,2023-02-09,1394,27,36,1,0.25,51.52
157,2023-04-06,496,92,44,3,0.25,1122.91
158,2023-02-21,1277,104,8,3,0.08,675.29
159,2023-03-08,1096,137,24,5,0.08,271.72
160,2023-02-13,865,197,37,4,0.02,1328.21
161,2023-02-14,358,44,22,1,0.16,391.47
162,2023-01-25,319,61,39,2,0.02,855.91
163,2023-03-03,138,75,2,4,0.03,1597.47
164,2023-09-29,519,47,20,3,0.08,856.07
165,2023-08-23,113,140,16,2,0.05,57.25
166,2023-09-20,727,65,7,2,0.23,507.46
167,2023-01-22,138,184,22,4,0.05,1005.25
168,2023-05-01,443,4,2,2,0.1,52.36
169,2023-12-23,181,187,29,3,0.14,656.84
170,2023-06-27,1090,33,5,3,0.0,229.23
171,2023-12-19,796,38,50,5,0.03,1737.42
172,2023-10-11,771,186,32,5,0.15,303.58
173,2023-08-01,67,189,17,3,0.01,1203.92
174,2023-11-11,632,65,5,4,0.15,1120.37
175,2023-01-26,993,102,41,5,0.1,1812.64
176,2023-12-09,630,45,28,2,0.09,296.06
177,2023-02-07,924,101,44,4,0.26,1012.23
178,2023-08-21,499,123,18,1,0.0,175.84
179,2023-01-26,437,21,31,3,0.05,559.28
180,2023-09-06,1131,162,31,4,0.22,374.24
181,2023-05-30,1210,63,50,5,0.28,1081.69
182,2023-12-22,185,200,47,4,0.28,924.97
183,2023-01-19,519,41,43,3,0.05,224.38
184,2023-11-19,930,3,25,1,0.21,232.07
185,2023-04-26,1025,36,13,5,0.25,93.49
186,2023-11-03,696,81,50,1,0.05,201.68
187,2023-03-19,344,64,7,3,0.21,323.36
188,2023-06-30,535,194,41,4,0.25,35.91
189,2023-02-23,933,65,3,1,0.05,313.04
190,2023-10-28,613,41,45,1,0.23,60.62
191,2023-11-14,620,62,15,4,0.22,987.42
192,2023-11-13,263,138,50,5,0.28,1338.26
193,2023-05-09,6,109,11,3,0.2,1178.93
194,2023-12-22,385,113,45,3,0.07,689.3
195,2023-07-01,671,11,16,3,0.26,129.23
196,2023-04-02,1241,115,8,1,0.21,223.13
197,2023-11-03,538,122,38,1,0.07,186.27
198,2023-06-12,578,99,30,2,0.02,665.52
199,2023-02-26,212,8,26,4,0.12,1189.41
200,2023-09-10,35,80,31,3,0.29,475.65
201,2023-02-22,1377,198,4,5,0.07,467.84
202,2023-03-30,341,35,11,5,0.05,967.53
203,2023-03-31,1479,159,24,3,0.14,88.47
204,2023-03-14,463,188,20,2,0.23,215.68
205,2023-09-10,1034,51,25,3,0.24,586.67
206,2023-07-18,985,167,7,3,0.13,552.93
207,2023-05-11,1322,163,27,2,0.14,637.52
208,2023-05-08,463,170,33,4,0.14,79.09
209,2023-04-23,732,170,17,5,0.2,91.96
210,2023-10-13,169,152,19,2,0.15,557.91
211,2023-08-21,1101,193,18,4,0.08,1327.41
212,2023-04-04,1397,138,25,4,0.01,1472.09
213,2023-03-25,1433,127,38,4,0.06,1796.83
214,2023-01-11,833,164,27,1,0.28,306.66
215,2023-07-04,848,181,19,3,0.29,363.91
216,2023-05-29,636,110,24,3,0.28,835.34
217,2023-03-18,1018,182,49,5,0.1,1034.55
218,2023-03-15,982,102,42,4,0.27,1176.21
219,2023-02-27,620,121,33,4,0.09,1632.18
220,2023-07-12,196,78,39,1,0.23,270.86
221,2023-04-01,418,14,49,1,0.02,182.34
222,2023-07-12,185,139,12,5,0.11,549.31
223,2023-12-14,417,180,17,5,0.16,1951.28
224,2023-06-14,751,128,44,1,0.08,40.59
225,2023-12-17,157,125,20,4,0.19,251.13
226,2023-05-14,1036,35,6,1,0.29,144.62
227,2023-10-30,1381,20,43,5,0.23,569.26
228,2023-11-27,385,11,35,2,0.18,95.46
229,2023-07-15,18,115,15,4,0.15,960.3
230,2023-04-09,290,167,12,4,0.13,737.24
231,2023-04-10,728,87,33,2,0.09,773.41
232,2023-01-01,1053,46,50,3,0.29,424.96
233,2023-12-21,766,75,5,4,0.24,1251.63
234,2023-10-04,401,177,6,4,0.18,77.24
235,2023-04-11,548,14,16,3,0.17,463.29
236,2023-04-14,857,6,29,5,0.23,1157.96
237,2023-05-29,652,62,41,4,0.14,1088.69
238,2023-05-31,1095,56,9,4,0.06,635.29
239,2023-06-04,161,179,18,5,0.23,1168.01
240,2023-08-15,716,10,48,3,0.1,24.44
241,2023-01-10,431,95,44,3,0.23,1105.47
242,2023-06-06,1274,19,44,2,0.18,302.5
243,2023-09-15,1080,5,18,4,0.27,421.27
244,2023-09-23,1102,177,50,2,0.3,32.97
245,2023-09-13,747,173,32,2,0.27,141.94
246,2023-09-18,1307,194,46,1,0.03,11.61
247,2023-11-03,344,154,39,5,0.0,1202.35
248,2023-10-25,1421,183,46,5,0.01,1596.13
249,2023-06-19,244,127,11,1,0.25,358.41
250,2023-01-07,1002,38,50,3,0.14,924.23
251,2023-05-19,1128,73,38,4,0.07,1444.96
252,2023-08-26,1234,119,30,4,0.26,855.06
253,2023-01-11,672,36,48,3,0.3,52.35
254,2023-03-27,704,89,46,3,0.16,892.99
255,2023-01-06,1276,71,21,1,0.29,187.8
256,2023-07-11,1270,47,37,2,0.22,483.87
257,2023-11-11,119,111,6,3,0.06,998.08
258,2023-12-16,1183,89,46,3,0.19,861.09
259,2023-07-13,1071,75,18,3,0.02,1210.46
260,2023-09-17,622,17,20,3,0.16,76.41
261,2023-12-17,1446,112,34,4,0.2,1109.34
262,2023-06-28,1388,191,37,5,0.01,1816.16
263,2023-02-06,156,171,20,4,0.27,1223.25
264,2023-11-10,350,137,2,1,0.06,55.53
265,2023-06-10,1135,152,1,4,0.02,1286.47
266,2023-04-08,769,172,37,5,0.15,1678.92
267,2023-12-16,677,54,43,1,0.19,194.46
268,2023-08-18,740,152,20,4,0.07,1220.83
269,2023-09-12,1063,46,25,4,0.2,638.43
270,2023-05-12,227,125,22,1,0.05,73.63
271,2023-11-16,772,112,49,3,0.29,738.41
272,2023-12-26,944,193,35,3,0.08,995.56
273,2023-04-04,707,186,17,3,0.09,195.0
274,2023-07-23,1272,193,26,2,0.11,642.06
275,2023-08-07,365,182,16,1,0.2,183.92
276,2023-11-21,441,183,38,1,0.11,286.98
277,2023-12-03,1102,60,10,1,0.29,319.42
278,2023-04-18,421,149,42,4,0.23,1485.92
279,2023-03-23,199,142,48,2,0.27,170.4
280,2023-11-03,1204,82,19,1,0.28,150.78
281,2023-06-12,452,180,36,3,0.13,1212.58
282,2023-08-01,638,48,48,1,0.27,308.13
283,2023-04-30,1091,57,33,2,0.21,93.62
284,2023-05-18,1172,143,32,4,0.25,360.75
285,2023-04-05,188,169,36,2,0.09,850.47
286,2023-08-20,1122,27,2,3,0.24,156.61
287,2023-09-12,1468,142,42,5,0.24,443.5
288,2023-08-31,85,44,31,2,0.22,727.01
289,2023-06-13,1500,131,49,1,0.14,322.44
290,2023-03-29,114,148,16,2,0.24,111.04
291,2023-03-23,402,49,31,5,0.14,1285.23
292,2023-07-03,1092,98,26,5,0.01,1363.28
293,2023-10-18,134,166,43,3,0.28,996.04
294,2023-03-20,529,50,41,4,0.17,850.32
295,2023-01-09,789,172,44,4,0.13,1374.74
296,2023-08-03,388,161,31,2,0.23,504.95
297,2023-02-11,531,43,27,3,0.22,173.6
298,2023-07-24,261,199,17,1,0.04,295.12
299,2023-06-28,1441,118,37,3,0.0,442.38
300,2023-10-05,1243,141,31,3,0.23,1046.59
301,2023-02-12,355,167,14,3,0.04,610.13
302,2023-03-14,639,110,29,2,0.14,665.18
303,2023-11-06,322,133,34,3,0.18,1020.51
304,2023-03-10,211,6,3,1,0.16,252.65
305,2023-01-15,1412,123,21,4,0.05,668.19
306,2023-12-01,1246,189,16,4,0.14,1394.44
307,2023-07-08,758,11,18,3,0.03,169.39
308,2023-10-21,1177,71,10,5,0.17,1097.68
309,2023-03-22,949,47,23,3,0.1,837.46
310,2023-03-19,496,167,8,4,0.22,660.97
311,2023-10-31,107,60,37,3,0.26,998.76
312,2023-05-27,1204,91,7,2,0.25,423.96
313,2023-03-01,209,117,35,4,0.06,1361.95
314,2023-02-06,356,198,30,3,0.01,298.81
315,2023-06-15,130,167,8,2,0.15,360.14
316,2023-07-30,1055,60,28,3,0.26,998.76
317,2023-04-22,644,21,9,2,0.15,333.61
318,2023-01-22,317,134,35,4,0.01,551.27
319,2023-03-19,968,158,37,3,0.02,430.06
320,2023-10-30,396,155,29,2,0.15,555.93
321,2023-06-12,605,95,20,5,0.02,2344.94
322,2023-06-11,186,149,29,2,0.28,694.71
323,2023-12-07,179,61,28,2,0.28,628.83
324,2023-12-25,606,19,30,1,0.27,134.65
325,2023-10-25,1483,21,28,2,0.07,365.01
326,2023-07-25,823,186,28,2,0.24,108.57
327,2023-04-30,181,110,45,1,0.29,274.58
328,2023-08-12,403,175,26,3,0.24,995.86
329,2023-05-06,511,149,49,1,0.03,467.97
330,2023-08-26,172,152,4,1,0.13,285.52
331,2023-12-09,681,48,45,4,0.02,1654.59
332,2023-03-20,1314,173,40,3,0.05,277.08
333,2023-11-27,730,21,6,5,0.27,716.28
334,2023-07-29,743,167,38,4,0.05,805.03
335,2023-03-30,401,49,8,1,0.21,236.12
336,2023-11-15,111,82,39,4,0.23,645.01
337,2023-06-01,129,64,13,2,0.22,212.85
338,2023-12-07,657,80,24,4,0.18,732.46
339,2023-04-03,458,182,11,3,0.06,648.32
340,2023-01-22,80,120,25,2,0.13,476.55
341,2023-08-09,389,185,17,1,0.24,338.34
342,2023-07-13,121,15,9,1,0.23,157.55
343,2023-02-08,630,89,22,3,0.26,786.68
344,2023-06-21,608,2,37,5,0.09,564.93
345,2023-12-06,22,121,43,4,0.15,1524.56
346,2023-05-13,922,168,42,4,0.05,1594.52
347,2023-11-16,904,1,40,1,0.16,194.32
348,2023-09-21,1092,127,14,5,0.27,1744.26
349,2023-01-14,181,123,8,4,0.15,597.86
350,2023-11-27,1376,96,29,4,0.01,920.82
351,2023-12-09,1459,2,28,2,0.27,181.27
352,2023-10-10,205,186,38,4,0.26,211.43
353,2023-06-23,98,143,32,2,0.11,214.04
354,2023-02-19,1263,142,1,3,0.21,276.6
355,2023-04-10,835,199,34,1,0.02,301.27
356,2023-04-15,739,77,23,1,0.08,265.35
357,2023-02-24,1258,145,27,5,0.06,791.95
358,2023-04-25,1125,73,49,2,0.17,644.79
359,2023-12-02,621,169,29,2,0.02,915.89
360,2023-10-03,1360,148,21,1,0.05,69.4
361,2023-01-21,641,157,37,5,0.23,566.68
362,2023-01-23,655,157,8,3,0.04,423.91
363,2023-05-20,936,103,2,4,0.09,494.53
364,2023-10-21,834,51,41,5,0.27,939.18
365,2023-10-01,1450,89,24,2,0.12,623.67
366,2023-04-25,886,117,42,2,0.13,630.26
367,2023-12-27,487,97,28,1,0.27,196.3
368,2023-03-22,626,130,47,3,0.2,791.3
369,2023-02-02,667,107,14,1,0.15,129.85
370,2023-11-25,622,181,47,4,0.01,676.57
371,2023-02-12,246,107,38,3,0.29,325.38
372,2023-04-01,1144,33,42,1,0.15,64.95
373,2023-03-19,377,197,43,4,0.18,1111.36
374,2023-02-18,1224,19,27,5,0.08,848.47
375,2023-03-30,1211,61,32,4,0.18,1432.34
376,2023-02-09,202,140,3,1,0.06,28.32
377,2023-07-10,290,3,43,3,0.3,616.9
378,2023-06-01,833,84,20,5,0.11,1127.63
379,2023-09-19,1258,149,18,5,0.06,2267.47
380,2023-12-06,1225,92,29,3,0.12,1317.54
381,2023-02-27,547,19,31,3,0.27,403.95
382,2023-12-31,699,157,31,3,0.16,370.92
383,2023-07-10,313,200,8,2,0.24,488.18
384,2023-10-03,113,66,18,2,0.16,816.77
385,2023-03-20,854,142,3,4,0.09,424.82
386,2023-08-11,629,72,23,3,0.2,868.78
387,2023-10-06,1402,190,29,5,0.21,666.33
388,2023-08-02,169,92,30,3,0.22,1167.82
389,2023-10-02,1266,72,4,1,0.15,307.69
390,2023-09-13,211,192,9,1,0.18,267.24
391,2023-07-25,47,44,24,1,0.3,326.22
392,2023-06-02,859,42,48,1,0.03,433.69
393,2023-01-05,215,95,2,2,0.09,870.98
394,2023-02-23,1423,150,45,1,0.1,440.16
395,2023-10-26,784,86,6,5,0.19,965.68
396,2023-02-26,1313,87,24,5,0.0,2124.75
397,2023-09-29,780,26,24,4,0.22,959.31
398,2023-06-17,1414,51,19,4,0.08,946.9
399,2023-05-15,1262,49,17,4,0.19,968.4
400,2023-10-12,192,182,40,1,0.13,200.01
401,2023-10-03,36,9,19,3,0.07,408.6
402,2023-01-30,121,191,3,1,0.15,311.86
403,2023-07-19,1439,84,41,4,0.03,983.19
404,2023-06-08,1489,157,40,2,0.17,244.34
405,2023-06-06,1079,18,45,2,0.01,560.54
406,2023-03-10,1304,90,40,2,0.28,376.92
407,2023-12-11,272,76,35,1,0.16,104.91
408,2023-01-01,328,25,21,3,0.23,724.18
409,2023-01-22,1361,149,30,1,0.1,434.2
410,2023-07-18,513,106,21,4,0.24,435.05
411,2023-04-01,275,54,9,3,0.17,597.77
412,2023-10-19,253,169,24,1,0.06,439.25
413,2023-09-15,829,177,25,5,0.08,108.33
414,2023-09-12,1097,91,41,4,0.28,814.0
415,2023-08-15,290,29,14,4,0.03,736.15
416,2023-11-23,855,192,32,5,0.25,1222.12
417,2023-09-26,1032,181,17,2,0.11,304.11
418,2023-09-03,258,26,18,5,0.05,1460.48
419,2023-05-06,312,7,48,4,0.14,1452.4
420,2023-06-10,1408,153,36,1,0.24,335.1
421,2023-09-24,172,106,18,3,0.18,352.05
422,2023-06-17,1297,128,23,5,0.14,189.72
423,2023-07-18,1023,80,22,4,0.04,857.51
424,2023-11-23,729,88,47,3,0.29,777.58
425,2023-07-25,1307,28,22,2,0.1,95.15
426,2023-05-25,824,173,46,1,0.24,73.89
427,2023-07-24,350,59,43,3,0.2,377.52
428,2023-06-09,1332,110,42,2,0.1,696.11
429,2023-03-02,781,59,31,3,0.04,453.02
430,2023-11-02,1267,103,25,2,0.05,258.13
431,2023-08-11,1165,194,49,2,0.19,19.39
432,2023-03-08,782,92,44,1,0.27,364.32
433,2023-04-22,300,188,27,4,0.24,425.75
434,2023-06-01,63,155,14,1,0.2,261.62
435,2023-12-04,1084,3,16,3,0.27,643.33
436,2023-04-03,397,86,22,2,0.06,448.27
437,2023-02-27,1294,188,45,1,0.14,120.44
438,2023-11-09,555,8,18,1,0.11,300.73
439,2023-03-14,1017,65,12,4,0.26,975.38
440,2023-08-12,1174,17,1,4,0.2,97.02
441,2023-03-16,1451,126,46,2,0.17,42.86
442,2023-04-02,177,61,22,2,0.11,777.31
443,2023-02-08,8,128,2,2,0.09,80.3
444,2023-04-09,23,37,37,5,0.0,121.3
445,2023-04-04,708,37,22,4,0.2,77.63
446,2023-01-09,1165,61,14,3,0.14,1126.66
447,2023-06-06,472,67,50,5,0.1,1311.03
448,2023-12-20,285,35,1,5,0.04,977.71
449,2023-02-02,1356,108,44,3,0.08,1300.07
450,2023-01-24,1299,180,29,5,0.13,2020.97
451,2023-05-26,1298,125,11,5,0.29,275.16
452,2023-03-25,1298,129,31,2,0.04,887.77
453,2023-11-10,721,120,47,4,0.19,887.37
454,2023-05-10,1009,11,31,4,0.13,202.57
455,2023-09-30,266,182,9,3,0.15,586.24
456,2023-04-22,272,51,34,2,0.06,483.74
457,2023-02-27,1129,174,41,5,0.0,1878.8
458,2023-05-25,1285,45,46,4,0.13,566.09
459,2023-09-06,934,56,45,1,0.27,123.34
460,2023-09-19,101,163,50,1,0.12,326.17
461,2023-10-18,1441,140,10,4,0.16,101.24
462,2023-12-25,413,29,31,4,0.12,667.85
463,2023-02-27,324,36,25,4,0.05,94.73
464,2023-02-16,299,133,37,5,0.23,1597.13
465,2023-08-30,63,21,21,4,0.19,635.82
466,2023-11-11,96,113,44,2,0.09,449.65
467,2023-08-17,1322,17,33,5,0.18,124.31
468,2023-03-20,1354,135,36,5,0.17,1175.28
469,2023-07-28,949,160,32,1,0.26,285.28
470,2023-10-29,548,168,4,1,0.01,415.41
471,2023-11-09,1145,186,46,1,0.06,67.14
472,2023-11-01,696,146,36,1,0.22,186.3
473,2023-11-10,1261,193,38,2,0.05,685.35
474,2023-05-23,1011,59,18,1,0.29,111.68
475,2023-10-22,264,91,11,3,0.03,822.48
476,2023-12-20,521,79,48,2,0.12,175.01
477,2023-09-27,392,173,42,5,0.16,408.32
478,2023-02-19,1140,114,28,2,0.07,451.05
479,2023-11-30,949,190,26,2,0.02,330.63
480,2023-03-24,251,175,2,5,0.19,1768.96
481,2023-09-21,297,192,16,2,0.23,501.89
482,2023-12-24,1250,82,27,3,0.09,571.72
483,2023-04-12,717,36,28,2,0.01,49.36
484,2023-02-26,181,31,40,2,0.22,438.56
485,2023-10-09,605,19,35,2,0.18,302.5
486,2023-01-11,686,42,2,4,0.27,1305.53
487,2023-01-30,382,113,41,4,0.18,810.36
488,2023-04-23,1469,192,12,3,0.11,870.15
489,2023-08-10,92,82,50,1,0.01,207.33
490,2023-08-05,679,149,30,3,0.25,1085.49
491,2023-07-29,1387,109,28,3,0.22,1149.45
492,2023-01-11,1049,63,44,5,0.08,1382.16
493,2023-12-19,1316,194,20,1,0.09,10.89
494,2023-03-28,48,128,17,4,0.29,125.3
495,2023-12-28,1447,56,35,2,0.08,310.89
496,2023-01-02,302,19,12,2,0.05,350.46
497,2023-02-01,1294,23,42,3,0.04,798.28
498,2023-01-03,1057,79,50,3,0.07,277.44
499,2023-06-28,819,156,39,5,0.1,1706.31
500,2023-04-11,33,53,19,5,0.12,1248.06
501,2023-03-24,779,62,13,4,0.21,1000.08
502,2023-10-04,90,27,45,5,0.04,329.71
503,2023-06-22,590,5,24,3,0.18,354.9
504,2023-04-10,1132,137,3,4,0.29,167.76
505,2023-10-06,59,129,4,1,0.27,337.54
506,2023-07-22,356,104,31,3,0.02,719.33
507,2023-04-07,373,42,39,1,0.15,380.04
508,2023-02-19,537,62,26,2,0.09,575.99
509,2023-01-02,27,14,7,4,0.28,535.85
510,2023-06-14,858,111,28,1,0.15,300.84
511,2023-11-20,735,188,23,4,0.12,492.98
512,2023-01-24,616,197,15,3,0.12,894.51
513,2023-06-17,978,86,31,3,0.07,665.25
514,2023-04-02,540,149,32,3,0.16,1215.75
515,2023-05-19,924,67,50,2,0.01,576.85
516,2023-05-06,818,173,30,4,0.16,326.66
517,2023-09-29,1419,7,44,5,0.12,1857.72
518,2023-05-01,1244,7,34,2,0.01,835.98
519,2023-10-09,699,61,17,2,0.0,873.38
520,2023-12-30,86,137,9,5,0.28,212.65
521,2023-01-01,1471,25,18,5,0.25,1175.62
522,2023-07-01,1187,131,32,4,0.07,1394.74
523,2023-10-11,48,5,7,1,0.2,115.42
524,2023-12-19,527,63,27,2,0.03,582.91
525,2023-03-24,171,181,19,1,0.11,152.06
526,2023-08-02,1300,107,37,3,0.06,430.78
527,2023-11-12,1030,77,5,4,0.13,1003.7
528,2023-03-29,1493,141,38,1,0.13,394.17
529,2023-12-04,1197,96,8,4,0.26,688.29
530,2023-10-17,1035,184,25,5,0.26,978.8
531,2023-11-10,677,24,13,1,0.01,409.39
532,2023-02-01,893,174,44,3,0.2,901.82
533,2023-01-31,804,10,28,4,0.08,33.3
534,2023-08-19,1409,12,38,4,0.12,250.98
535,2023-07-23,532,34,22,1,0.28,218.32
536,2023-10-01,419,18,2,1,0.02,277.44
537,2023-12-24,73,129,44,2,0.27,675.07
538,2023-08-10,193,40,31,5,0.13,1140.0
539,2023-03-25,797,78,12,4,0.18,1153.77
540,2023-08-23,675,20,22,3,0.12,390.35
541,2023-08-12,1285,181,39,3,0.23,394.66
542,2023-05-05,726,65,12,3,0.13,860.05
543,2023-04-27,884,7,23,1,0.02,413.77
544,2023-04-01,276,140,3,5,0.16,126.55
545,2023-10-12,452,23,7,1,0.18,227.29
